,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali
0,"1,000,000","1,000,000","1,000,000","1,000,000",30000,3%,2013/07/22,1392/04/31
1,"1,030,000","1,030,000","1,030,000","1,030,000",10000,0.98%,2013/07/23,1392/05/01
2,"1,020,000","1,020,000","1,020,000","1,020,000",5000,0.49%,2013/07/24,1392/05/02
3,"1,040,000","1,040,000","1,040,000","1,040,000",10000,0.97%,2013/07/27,1392/05/05
4,"1,030,000","1,030,000","1,030,000","1,030,000",-,-,2013/07/28,1392/05/06
5,"1,030,000","1,030,000","1,030,000","1,030,000",16000,1.55%,2013/07/31,1392/05/09
6,"1,040,000","1,040,000","1,040,000","1,040,000",10000,0.97%,2013/08/03,1392/05/12
7,"1,030,000","1,030,000","1,030,000","1,030,000",10000,0.98%,2013/08/04,1392/05/13
8,"1,020,000","1,020,000","1,020,000","1,020,000",-,-,2013/08/05,1392/05/14
9,"1,020,000","1,020,000","1,020,000","1,020,000",10000,0.98%,2013/08/06,1392/05/15
10,"1,030,000","1,030,000","1,030,000","1,030,000",3000,0.29%,2013/08/07,1392/05/16
11,"1,050,000","1,050,000","1,050,000","1,050,000",10000,0.96%,2013/08/11,1392/05/20
12,"1,040,000","1,040,000","1,040,000","1,040,000",-,-,2013/08/12,1392/05/21
13,"1,040,000","1,040,000","1,040,000","1,040,000",-,-,2013/08/13,1392/05/22
14,"1,040,000","1,040,000","1,040,000","1,040,000",13000,1.25%,2013/08/14,1392/05/23
15,"1,060,000","1,060,000","1,060,000","1,060,000",-,-,2013/08/17,1392/05/26
16,"1,060,000","1,060,000","1,060,000","1,060,000",20000,1.92%,2013/08/18,1392/05/27
17,"1,060,000","1,040,000","1,060,000","1,040,000",10000,0.97%,2013/08/19,1392/05/28
18,"1,040,000","1,030,000","1,040,000","1,030,000",10000,0.97%,2013/08/20,1392/05/29
19,"1,040,000","1,040,000","1,040,000","1,040,000",2000,0.19%,2013/08/21,1392/05/30
20,"1,050,000","1,050,000","1,060,000","1,060,000",-,-,2013/08/24,1392/06/02
21,"1,060,000","1,050,000","1,060,000","1,060,000",20000,1.89%,2013/08/25,1392/06/03
22,"1,060,000","1,060,000","1,080,000","1,080,000",60000,5.56%,2013/08/26,1392/06/04
23,"1,130,000","1,120,000","1,150,000","1,140,000",20000,1.79%,2013/08/27,1392/06/05
24,"1,100,000","1,100,000","1,120,000","1,120,000",-,-,2013/08/28,1392/06/06
25,"1,120,000","1,110,000","1,120,000","1,110,000",-,-,2013/08/31,1392/06/09
26,"1,110,000","1,110,000","1,110,000","1,110,000",30000,2.7%,2013/09/01,1392/06/10
27,"1,140,000","1,130,000","1,140,000","1,140,000",-,-,2013/09/03,1392/06/12
28,"1,130,000","1,130,000","1,140,000","1,140,000",-,-,2013/09/04,1392/06/13
29,"1,140,000","1,140,000","1,140,000","1,140,000",20000,1.79%,2013/09/05,1392/06/14
30,"1,110,000","1,110,000","1,120,000","1,120,000",10000,0.9%,2013/09/07,1392/06/16
31,"1,120,000","1,110,000","1,130,000","1,110,000",40000,3.74%,2013/09/08,1392/06/17
32,"1,100,000","1,070,000","1,100,000","1,070,000",15000,1.42%,2013/09/09,1392/06/18
33,"1,070,000","1,055,000","1,070,000","1,055,000",15000,1.44%,2013/09/10,1392/06/19
34,"1,050,000","1,040,000","1,050,000","1,040,000",-,-,2013/09/11,1392/06/20
35,"1,040,000","1,040,000","1,040,000","1,040,000",20000,1.96%,2013/09/12,1392/06/21
36,"1,010,000","1,010,000","1,020,000","1,020,000",30000,3.03%,2013/09/14,1392/06/23
37,"1,020,000","980,000","1,020,000","990,000",10000,1.02%,2013/09/15,1392/06/24
38,"983,000","980,000","983,000","980,000",-,-,2013/09/16,1392/06/25
39,"980,000","980,000","980,000","980,000",40000,4.08%,2013/09/17,1392/06/26
40,"1,020,000","1,020,000","1,030,000","1,020,000",23000,2.31%,2013/09/18,1392/06/27
41,"950,000","940,000","960,000","950,000",10000,1.05%,2013/09/21,1392/06/30
42,"950,000","950,000","960,000","960,000",10000,1.05%,2013/09/22,1392/06/31
43,"940,000","940,000","950,000","950,000",40000,4.21%,2013/09/23,1392/07/01
44,"990,000","990,000","990,000","990,000",-,-,2013/09/24,1392/07/02
45,"990,000","990,000","1,000,000","990,000",-,-,2013/09/25,1392/07/03
46,"990,000","990,000","990,000","990,000",20000,2.02%,2013/09/26,1392/07/04
47,"990,000","990,000","1,010,000","1,010,000",20000,2.02%,2013/09/28,1392/07/06
48,"1,000,000","990,000","1,000,000","990,000",10000,1.02%,2013/09/29,1392/07/07
49,"990,000","980,000","1,000,000","980,000",-,-,2013/09/30,1392/07/08
50,"970,000","970,000","980,000","980,000",-,-,2013/10/01,1392/07/09
51,"980,000","980,000","980,000","980,000",-,-,2013/10/02,1392/07/10
52,"990,000","990,000","990,000","990,000",10000,1.02%,2013/10/05,1392/07/13
53,"980,000","980,000","980,000","980,000",10000,1.02%,2013/10/06,1392/07/14
54,"990,000","980,000","990,000","990,000",10000,1.02%,2013/10/07,1392/07/15
55,"980,000","980,000","980,000","980,000",-,-,2013/10/08,1392/07/16
56,"980,000","970,000","980,000","980,000",11000,1.14%,2013/10/09,1392/07/17
57,"950,000","950,000","950,000","950,000",10000,1.05%,2013/10/12,1392/07/20
58,"950,000","950,000","960,000","960,000",10000,1.05%,2013/10/13,1392/07/21
59,"960,000","950,000","960,000","950,000",-,-,2013/10/14,1392/07/22
60,"950,000","950,000","950,000","950,000",20000,2.11%,2013/10/15,1392/07/23
61,"970,000","970,000","970,000","970,000",-,-,2013/10/17,1392/07/25
62,"980,000","970,000","980,000","970,000",-,-,2013/10/19,1392/07/27
63,"970,000","960,000","970,000","970,000",13000,1.34%,2013/10/20,1392/07/28
64,"972,000","951,000","981,000","971,000",6000,0.62%,2013/10/21,1392/07/29
65,"988,000","971,000","995,000","977,000",13000,1.33%,2013/10/22,1392/07/30
66,"990,000","990,000","990,000","990,000",-,-,2013/10/26,1392/08/04
67,"990,000","990,000","990,000","990,000",-,-,2013/10/27,1392/08/05
68,"990,000","990,000","990,000","990,000",-,-,2013/10/28,1392/08/06
69,"990,000","990,000","990,000","990,000",10000,1.02%,2013/10/29,1392/08/07
70,"990,000","980,000","990,000","980,000",-,-,2013/10/30,1392/08/08
71,"980,000","980,000","980,000","980,000",-,-,2013/10/31,1392/08/09
72,"970,000","970,000","980,000","980,000",10000,1.03%,2013/11/02,1392/08/11
73,"980,000","970,000","980,000","970,000",-,-,2013/11/03,1392/08/12
74,"970,000","970,000","970,000","970,000",-,-,2013/11/04,1392/08/13
75,"970,000","970,000","970,000","970,000",-,-,2013/11/05,1392/08/14
76,"970,000","970,000","970,000","970,000",-,-,2013/11/06,1392/08/15
77,"970,000","970,000","970,000","970,000",20000,2.11%,2013/11/07,1392/08/16
78,"950,000","950,000","950,000","950,000",-,-,2013/11/09,1392/08/18
79,"950,000","950,000","950,000","950,000",-,-,2013/11/10,1392/08/19
80,"950,000","950,000","950,000","950,000",-,-,2013/11/11,1392/08/20
81,"950,000","950,000","950,000","950,000",-,-,2013/11/12,1392/08/21
82,"950,000","950,000","950,000","950,000",10000,1.06%,2013/11/16,1392/08/25
83,"940,000","940,000","940,000","940,000",-,-,2013/11/17,1392/08/26
84,"930,000","930,000","940,000","940,000",10000,1.08%,2013/11/18,1392/08/27
85,"940,000","930,000","940,000","930,000",10000,1.09%,2013/11/19,1392/08/28
86,"920,000","920,000","920,000","920,000",-,-,2013/11/20,1392/08/29
87,"920,000","920,000","920,000","920,000",60000,6.98%,2013/11/21,1392/08/30
88,"910,000","860,000","910,000","860,000",-,-,2013/11/23,1392/09/02
89,"850,000","850,000","860,000","860,000",30000,3.49%,2013/11/24,1392/09/03
90,"880,000","880,000","890,000","890,000",-,-,2013/11/25,1392/09/04
91,"880,000","880,000","900,000","890,000",10000,1.14%,2013/11/26,1392/09/05
92,"890,000","880,000","890,000","880,000",-,-,2013/11/27,1392/09/06
93,"880,000","880,000","880,000","880,000",10000,1.14%,2013/11/28,1392/09/07
94,"900,000","890,000","900,000","890,000",-,-,2013/11/30,1392/09/09
95,"890,000","890,000","890,000","890,000",10000,1.14%,2013/12/01,1392/09/10
96,"880,000","870,000","880,000","880,000",-,-,2013/12/02,1392/09/11
97,"880,000","880,000","880,000","880,000",10000,1.14%,2013/12/03,1392/09/12
98,"890,000","880,000","890,000","890,000",-,-,2013/12/04,1392/09/13
99,"890,000","890,000","890,000","890,000",-,-,2013/12/05,1392/09/14
100,"880,000","880,000","890,000","890,000",-,-,2013/12/07,1392/09/16
101,"890,000","890,000","890,000","890,000",10000,1.12%,2013/12/08,1392/09/17
102,"890,000","890,000","900,000","900,000",-,-,2013/12/09,1392/09/18
103,"900,000","900,000","900,000","900,000",10000,1.12%,2013/12/10,1392/09/19
104,"900,000","890,000","900,000","890,000",-,-,2013/12/11,1392/09/20
105,"900,000","900,000","900,000","900,000",10000,1.12%,2013/12/14,1392/09/23
106,"890,000","890,000","890,000","890,000",-,-,2013/12/15,1392/09/24
107,"890,000","890,000","890,000","890,000",-,-,2013/12/16,1392/09/25
108,"890,000","890,000","890,000","890,000",10000,1.14%,2013/12/17,1392/09/26
109,"890,000","880,000","890,000","880,000",-,-,2013/12/18,1392/09/27
110,"880,000","880,000","880,000","880,000",10000,1.15%,2013/12/19,1392/09/28
111,"870,000","870,000","870,000","870,000",10000,1.15%,2013/12/21,1392/09/30
112,"880,000","880,000","880,000","880,000",10000,1.15%,2013/12/22,1392/10/01
113,"880,000","870,000","880,000","870,000",9000,1.03%,2013/12/24,1392/10/03
114,"880,000","880,000","880,000","880,000",20000,2.27%,2013/12/26,1392/10/05
115,"890,000","890,000","900,000","900,000",10000,1.12%,2013/12/28,1392/10/07
116,"890,000","890,000","890,000","890,000",-,-,2013/12/29,1392/10/08
117,"890,000","890,000","890,000","890,000",9000,1.01%,2013/12/30,1392/10/09
118,"892,000","884,000","915,000","899,000",1000,0.11%,2013/12/31,1392/10/10
119,"900,000","900,000","900,000","900,000",-,-,2014/01/04,1392/10/14
120,"900,000","900,000","900,000","900,000",-,-,2014/01/05,1392/10/15
121,"900,000","900,000","900,000","900,000",-,-,2014/01/06,1392/10/16
122,"900,000","900,000","900,000","900,000",-,-,2014/01/07,1392/10/17
123,"900,000","900,000","900,000","900,000",-,-,2014/01/08,1392/10/18
124,"900,000","900,000","900,000","900,000",10000,1.11%,2014/01/09,1392/10/19
125,"910,000","910,000","910,000","910,000",20000,2.25%,2014/01/11,1392/10/21
126,"890,000","890,000","890,000","890,000",-,-,2014/01/12,1392/10/22
127,"900,000","890,000","900,000","890,000",-,-,2014/01/13,1392/10/23
128,"890,000","890,000","890,000","890,000",-,-,2014/01/14,1392/10/24
129,"890,000","890,000","890,000","890,000",-,-,2014/01/15,1392/10/25
130,"890,000","890,000","890,000","890,000",-,-,2014/01/16,1392/10/26
131,"890,000","890,000","890,000","890,000",12000,1.37%,2014/01/18,1392/10/28
132,"878,000","878,000","878,000","878,000",4000,0.46%,2014/01/20,1392/10/30
133,"878,000","878,000","882,000","882,000",-,-,2014/01/21,1392/11/01
134,"882,000","882,000","882,000","882,000",-,-,2014/01/22,1392/11/02
135,"882,000","882,000","882,000","882,000",-,-,2014/01/23,1392/11/03
136,"882,000","882,000","882,000","882,000",7400,0.84%,2014/01/25,1392/11/05
137,"888,500","870,800","899,200","884,700",500,0.06%,2014/01/26,1392/11/06
138,"883,400","875,400","896,700","884,200",3400,0.38%,2014/01/27,1392/11/07
139,"884,400","876,600","901,000","887,600",2600,0.29%,2014/01/28,1392/11/08
140,"886,800","881,400","903,600","890,200",2040,0.23%,2014/01/29,1392/11/09
141,"890,620","890,620","894,550","892,240",5310,0.6%,2014/02/01,1392/11/12
142,"892,240","892,240","898,700","897,550",1620,0.18%,2014/02/02,1392/11/13
143,"897,550","895,470","898,010","895,930",2540,0.28%,2014/02/03,1392/11/14
144,"895,930","895,930","902,630","898,470",460,0.05%,2014/02/04,1392/11/15
145,"898,470","897,550","901,930","898,930",-,-,2014/02/05,1392/11/16
146,"898,930","898,930","898,930","898,930",3230,0.36%,2014/02/06,1392/11/17
