,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
0,"186,641,000","186,641,000","188,848,000","186,980,000",326000,0.17%,2026-08-01,1405/05/10,Saturday,شنبه
1,"188,106,000","185,823,000","188,106,000","186,654,000",1448000,0.78%,2026-07-30,1405/05/08,Thursday,پنج‌شنبه
2,"183,404,000","183,404,000","189,886,000","188,102,000",4689000,2.56%,2026-07-29,1405/05/07,Wednesday,چهارشنبه
3,"182,100,000","182,100,000","185,292,000","183,413,000",1320000,0.72%,2026-07-28,1405/05/06,Tuesday,سه‌شنبه
4,"178,787,000","178,787,000","185,154,000","182,093,000",3304000,1.85%,2026-07-27,1405/05/05,Monday,دوشنبه
5,"182,568,000","178,251,000","182,568,000","178,789,000",3761000,2.1%,2026-07-26,1405/05/04,Sunday,یکشنبه
6,"188,566,000","182,245,000","188,566,000","182,550,000",6004000,3.29%,2026-07-25,1405/05/03,Saturday,شنبه
7,"190,032,000","187,601,000","190,032,000","188,554,000",1480000,0.78%,2026-07-23,1405/05/01,Thursday,پنج‌شنبه
8,"184,445,000","184,445,000","190,579,000","190,034,000",5582000,3.03%,2026-07-22,1405/04/31,Wednesday,چهارشنبه
9,"181,850,000","181,850,000","185,939,000","184,452,000",2609000,1.43%,2026-07-21,1405/04/30,Tuesday,سه‌شنبه
10,"187,677,000","181,324,000","187,677,000","181,843,000",5832000,3.21%,2026-07-20,1405/04/29,Monday,دوشنبه
11,"191,364,000","186,908,000","191,364,000","187,675,000",3707000,1.98%,2026-07-19,1405/04/28,Sunday,یکشنبه
12,"182,446,000","182,446,000","191,456,000","191,382,000",8931000,4.9%,2026-07-18,1405/04/27,Saturday,شنبه
13,"183,706,000","181,830,000","184,046,000","182,451,000",1152000,0.63%,2026-07-16,1405/04/25,Thursday,پنج‌شنبه
14,"178,914,000","178,914,000","185,154,000","183,603,000",4684000,2.62%,2026-07-15,1405/04/24,Wednesday,چهارشنبه
15,"177,522,000","177,513,000","180,075,000","178,919,000",2097000,1.19%,2026-07-14,1405/04/23,Tuesday,سه‌شنبه
16,"176,599,000","175,160,000","177,074,000","176,822,000",219000,0.12%,2026-07-13,1405/04/22,Monday,دوشنبه
17,"174,743,000","174,743,000","176,956,000","176,603,000",1842000,1.05%,2026-07-12,1405/04/21,Sunday,یکشنبه
18,"179,376,000","174,396,000","179,376,000","174,761,000",4608000,2.64%,2026-07-11,1405/04/20,Saturday,شنبه
19,"178,829,000","178,829,000","180,306,000","179,369,000",536000,0.3%,2026-07-09,1405/04/18,Thursday,پنج‌شنبه
20,"177,400,000","177,282,000","179,729,000","178,833,000",1426000,0.8%,2026-07-08,1405/04/17,Wednesday,چهارشنبه
21,"177,360,000","175,668,000","177,882,000","177,407,000",33000,0.02%,2026-07-07,1405/04/16,Tuesday,سه‌شنبه
22,"177,303,000","176,589,000","178,459,000","177,374,000",90000,0.05%,2026-07-06,1405/04/15,Monday,دوشنبه
23,"174,618,000","174,618,000","177,536,000","177,284,000",2657000,1.52%,2026-07-05,1405/04/14,Sunday,یکشنبه
24,"172,568,000","172,568,000","174,996,000","174,627,000",2057000,1.19%,2026-07-02,1405/04/11,Thursday,پنج‌شنبه
25,"169,103,000","169,103,000","173,958,000","172,570,000",3463000,2.05%,2026-07-01,1405/04/10,Wednesday,چهارشنبه
26,"167,840,000","166,778,000","169,687,000","169,107,000",1276000,0.76%,2026-06-30,1405/04/09,Tuesday,سه‌شنبه
27,"172,912,000","166,201,000","172,912,000","167,831,000",5069000,3.02%,2026-06-29,1405/04/08,Monday,دوشنبه
28,"163,315,000","163,315,000","172,900,000","172,900,000",9566000,5.86%,2026-06-28,1405/04/07,Sunday,یکشنبه
29,"160,866,000","160,866,000","164,952,000","163,334,000",2482000,1.54%,2026-06-27,1405/04/06,Saturday,شنبه
30,"159,361,000","158,814,000","161,030,000","160,852,000",1500000,0.94%,2026-06-23,1405/04/02,Tuesday,سه‌شنبه
31,"161,600,000","158,583,000","161,600,000","159,352,000",2250000,1.41%,2026-06-22,1405/04/01,Monday,دوشنبه
32,"161,023,000","157,429,000","161,607,000","161,602,000",588000,0.37%,2026-06-21,1405/03/31,Sunday,یکشنبه
33,"156,623,000","156,623,000","164,377,000","161,014,000",4372000,2.79%,2026-06-20,1405/03/30,Saturday,شنبه
34,"161,829,000","156,274,000","161,829,000","156,642,000",5177000,3.3%,2026-06-18,1405/03/28,Thursday,پنج‌شنبه
35,"156,512,000","155,120,000","163,336,000","161,819,000",5300000,3.39%,2026-06-17,1405/03/27,Wednesday,چهارشنبه
36,"162,281,000","156,505,000","162,281,000","156,519,000",6450000,4.12%,2026-06-16,1405/03/26,Tuesday,سه‌شنبه
37,"171,303,000","162,625,000","171,303,000","162,969,000",8333843,5.11%,2026-06-15,1405/03/25,Monday,دوشنبه
38,"172,226,000","170,126,000","173,719,320","171,302,843",905157,0.53%,2026-06-14,1405/03/24,Sunday,یکشنبه
39,"178,672,000","171,972,000","178,672,000","172,208,000",6461000,3.75%,2026-06-13,1405/03/23,Saturday,شنبه
40,"179,221,000","178,205,000","179,267,000","178,669,000",474000,0.27%,2026-06-11,1405/03/21,Thursday,پنج‌شنبه
