بازگشایی؟,کمترین؟,بیشترین؟,پایانی؟,میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
186641000,186641000,188848000,186980000,326000,0.17%,2026/08/01,1405/05/10
188106000,185823000,188106000,186654000,1448000,0.78%,2026/07/30,1405/05/08
183404000,183404000,189886000,188102000,4689000,2.56%,2026/07/29,1405/05/07
182100000,182100000,185292000,183413000,1320000,0.72%,2026/07/28,1405/05/06
178787000,178787000,185154000,182093000,3304000,1.85%,2026/07/27,1405/05/05
182568000,178251000,182568000,178789000,3761000,2.1%,2026/07/26,1405/05/04
188566000,182245000,188566000,182550000,6004000,3.29%,2026/07/25,1405/05/03
190032000,187601000,190032000,188554000,1480000,0.78%,2026/07/23,1405/05/01
184445000,184445000,190579000,190034000,5582000,3.03%,2026/07/22,1405/04/31
181850000,181850000,185939000,184452000,2609000,1.43%,2026/07/21,1405/04/30
187677000,181324000,187677000,181843000,5832000,3.21%,2026/07/20,1405/04/29
191364000,186908000,191364000,187675000,3707000,1.98%,2026/07/19,1405/04/28
182446000,182446000,191456000,191382000,8931000,4.9%,2026/07/18,1405/04/27
183706000,181830000,184046000,182451000,1152000,0.63%,2026/07/16,1405/04/25
178914000,178914000,185154000,183603000,4684000,2.62%,2026/07/15,1405/04/24
177522000,177513000,180075000,178919000,2097000,1.19%,2026/07/14,1405/04/23
176599000,175160000,177074000,176822000,219000,0.12%,2026/07/13,1405/04/22
174743000,174743000,176956000,176603000,1842000,1.05%,2026/07/12,1405/04/21
179376000,174396000,179376000,174761000,4608000,2.64%,2026/07/11,1405/04/20
178829000,178829000,180306000,179369000,536000,0.3%,2026/07/09,1405/04/18
177400000,177282000,179729000,178833000,1426000,0.8%,2026/07/08,1405/04/17
177360000,175668000,177882000,177407000,33000,0.02%,2026/07/07,1405/04/16
177303000,176589000,178459000,177374000,90000,0.05%,2026/07/06,1405/04/15
174618000,174618000,177536000,177284000,2657000,1.52%,2026/07/05,1405/04/14
172568000,172568000,174996000,174627000,2057000,1.19%,2026/07/02,1405/04/11
169103000,169103000,173958000,172570000,3463000,2.05%,2026/07/01,1405/04/10
167840000,166778000,169687000,169107000,1276000,0.76%,2026/06/30,1405/04/09
172912000,166201000,172912000,167831000,5069000,3.02%,2026/06/29,1405/04/08
163315000,163315000,172900000,172900000,9566000,5.86%,2026/06/28,1405/04/07
160866000,160866000,164952000,163334000,9566000,5.86%,2026/06/27,1405/04/06
