,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
0,499,499,499,499,16.5,3.31%,1979-12-26,1358/10/05,Wednesday,چهارشنبه
1,515.50,515.50,515.50,515.50,3.5,0.68%,1979-12-27,1358/10/06,Thursday,پنج‌شنبه
2,512,512,512,512,-,-,1979-12-28,1358/10/07,Friday,جمعه
3,512,512,512,512,47.75,9.33%,1980-01-01,1358/10/11,Tuesday,سه‌شنبه
4,559.75,559.75,559.75,559.75,74.5,13.31%,1980-01-02,1358/10/12,Wednesday,چهارشنبه
5,634.25,634.25,634.25,634.25,-,-,1980-01-03,1358/10/13,Thursday,پنج‌شنبه
6,634.25,634.25,634.25,634.25,0.25,0.04%,1980-01-04,1358/10/14,Friday,جمعه
7,634,634,634,634,24,3.93%,1980-01-07,1358/10/17,Monday,دوشنبه
8,610,610,610,610,2.8,0.46%,1980-01-08,1358/10/18,Tuesday,سه‌شنبه
9,607.2000,607.2000,607.2000,607.2000,3.85,0.64%,1980-01-09,1358/10/19,Wednesday,چهارشنبه
10,603.3500,603.3500,603.3500,603.3500,19.65,3.26%,1980-01-10,1358/10/20,Thursday,پنج‌شنبه
11,623,623,623,623,37,5.94%,1980-01-11,1358/10/21,Friday,جمعه
12,660,660,660,660,24,3.64%,1980-01-14,1358/10/24,Monday,دوشنبه
13,684,684,684,684,76,11.11%,1980-01-15,1358/10/25,Tuesday,سه‌شنبه
14,760,760,760,760,10,1.33%,1980-01-16,1358/10/26,Wednesday,چهارشنبه
15,750,750,750,750,85,11.33%,1980-01-17,1358/10/27,Thursday,پنج‌شنبه
16,835,835,835,835,-,-,1980-01-18,1358/10/28,Friday,جمعه
17,835,835,835,835,97.5,13.22%,1980-01-21,1358/11/01,Monday,دوشنبه
18,737.50,737.50,737.50,737.50,42.5,6.12%,1980-01-22,1358/11/02,Tuesday,سه‌شنبه
19,695,695,695,695,22,3.17%,1980-01-23,1358/11/03,Wednesday,چهارشنبه
20,717,717,717,717,49,7.34%,1980-01-24,1358/11/04,Thursday,پنج‌شنبه
21,668,668,668,668,44,7.05%,1980-01-25,1358/11/05,Friday,جمعه
22,624,624,624,624,50.25,8.05%,1980-01-28,1358/11/08,Monday,دوشنبه
23,674.25,674.25,674.25,674.25,16.75,2.48%,1980-01-29,1358/11/09,Tuesday,سه‌شنبه
