,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
0,"2,067,159","2,067,159","2,067,170","2,067,167",370,0.02%,2023-09-30,1402/07/08,Saturday,شنبه
1,"2,067,164","2,066,690","2,067,831","2,067,537",2212,0.11%,2023-10-01,1402/07/09,Sunday,یکشنبه
2,"2,068,059","2,068,059","2,070,900","2,069,749",16885,0.82%,2023-10-03,1402/07/11,Tuesday,سه‌شنبه
3,"2,069,706","2,052,864","2,069,706","2,052,864",51598,2.58%,2023-10-06,1402/07/14,Friday,جمعه
4,"2,052,879","2,001,255","2,052,879","2,001,266",4329,0.22%,2023-10-07,1402/07/15,Saturday,شنبه
5,"2,000,422","2,000,422","2,010,196","2,005,595",8471,0.42%,2023-10-08,1402/07/16,Sunday,یکشنبه
6,"2,006,232","2,006,232","2,014,066","2,014,066",5646,0.28%,2023-10-09,1402/07/17,Monday,دوشنبه
7,"2,014,877","2,014,877","2,020,461","2,019,712",18250,0.91%,2023-10-10,1402/07/18,Tuesday,سه‌شنبه
8,"2,019,412","2,001,421","2,019,412","2,001,462",480,0.02%,2023-10-13,1402/07/21,Friday,جمعه
9,"2,001,464","2,001,258","2,002,908","2,001,942",-,-,2023-10-14,1402/07/22,Saturday,شنبه
10,"2,002,453","2,002,453","2,018,195","2,018,165",13080,0.65%,2023-10-15,1402/07/23,Sunday,یکشنبه
11,"2,018,150","2,018,150","2,031,246","2,031,245",7702,0.38%,2023-10-16,1402/07/24,Monday,دوشنبه
12,"2,029,688","2,023,527","2,029,688","2,023,543",1429,0.07%,2023-10-17,1402/07/25,Tuesday,سه‌شنبه
13,"2,023,542","2,023,542","2,026,454","2,024,972",7240,0.36%,2023-10-20,1402/07/28,Friday,جمعه
14,"2,026,712","2,026,712","2,033,262","2,032,212",10309,0.51%,2023-10-21,1402/07/29,Saturday,شنبه
15,"2,021,893","2,021,893","2,021,903","2,021,903",21557,1.08%,2023-10-22,1402/07/30,Sunday,یکشنبه
16,"2,021,882","2,000,176","2,021,882","2,000,346",1729,0.09%,2023-10-23,1402/08/01,Monday,دوشنبه
17,"2,000,340","1,999,707","2,002,110","2,002,075",50859,2.61%,2023-10-24,1402/08/02,Tuesday,سه‌شنبه
18,"1,994,979","1,951,216","1,994,979","1,951,216",10094,0.52%,2023-10-27,1402/08/05,Friday,جمعه
19,"1,950,316","1,950,316","1,961,319","1,961,310",20104,1.03%,2023-10-28,1402/08/06,Saturday,شنبه
20,"1,962,245","1,962,245","1,981,572","1,981,414",210,0.01%,2023-10-29,1402/08/07,Sunday,یکشنبه
21,"1,981,909","1,981,203","1,985,257","1,981,204",10685,0.54%,2023-10-30,1402/08/08,Monday,دوشنبه
22,"1,979,785","1,967,737","1,979,785","1,970,519",28690,1.46%,2023-10-31,1402/08/09,Tuesday,سه‌شنبه
23,"1,975,900","1,975,900","1,999,209","1,999,209",17525,0.88%,2023-11-03,1402/08/12,Friday,جمعه
24,"2,000,254","2,000,254","2,016,746","2,016,734",14137,0.7%,2023-11-04,1402/08/13,Saturday,شنبه
25,"2,017,296","2,017,296","2,030,878","2,030,871",21825,1.07%,2023-11-05,1402/08/14,Sunday,یکشنبه
26,"2,031,822","2,031,822","2,052,696","2,052,696",3248,0.16%,2023-11-06,1402/08/15,Monday,دوشنبه
27,"2,053,926","2,053,926","2,056,041","2,055,944",1462,0.07%,2023-11-07,1402/08/16,Tuesday,سه‌شنبه
28,"2,056,160","2,054,307","2,058,764","2,054,482",850,0.04%,2023-11-10,1402/08/19,Friday,جمعه
29,"2,054,502","2,052,563","2,054,646","2,053,632",2328,0.11%,2023-11-11,1402/08/20,Saturday,شنبه
30,"2,054,064","2,054,064","2,058,338","2,055,960",9799,0.48%,2023-11-12,1402/08/21,Sunday,یکشنبه
31,"2,055,842","2,046,161","2,055,842","2,046,161",7278,0.36%,2023-11-13,1402/08/22,Monday,دوشنبه
32,"2,046,066","2,038,875","2,046,066","2,038,883",10304,0.51%,2023-11-14,1402/08/23,Tuesday,سه‌شنبه
33,"2,038,817","2,028,566","2,038,817","2,028,579",2338,0.12%,2023-11-17,1402/08/26,Friday,جمعه
34,"2,028,825","2,026,238","2,031,133","2,026,241",8234,0.41%,2023-11-18,1402/08/27,Saturday,شنبه
35,"2,026,254","2,017,915","2,026,254","2,018,007",2146,0.11%,2023-11-19,1402/08/28,Sunday,یکشنبه
36,"2,018,221","2,018,012","2,020,153","2,020,153",2179,0.11%,2023-11-20,1402/08/29,Monday,دوشنبه
37,"2,020,707","2,020,707","2,023,975","2,022,332",2344,0.12%,2023-11-21,1402/08/30,Tuesday,سه‌شنبه
38,"2,022,953","2,019,988","2,023,339","2,019,988",4459,0.22%,2023-11-24,1402/09/03,Friday,جمعه
39,"2,020,993","2,020,993","2,024,478","2,024,447",7432,0.37%,2023-11-25,1402/09/04,Saturday,شنبه
40,"2,025,378","2,025,378","2,031,905","2,031,879",5805,0.29%,2023-11-26,1402/09/05,Sunday,یکشنبه
41,"2,034,323","2,034,323","2,060,377","2,060,345",27351,1.33%,2023-11-28,1402/09/07,Tuesday,سه‌شنبه
42,"2,064,238","2,064,238","2,088,078","2,087,696",33503,1.6%,2023-12-01,1402/09/10,Friday,جمعه
43,"2,088,225","2,087,859","2,121,199","2,121,199",44029,2.08%,2023-12-02,1402/09/11,Saturday,شنبه
44,"2,142,274","2,142,274","2,165,467","2,165,228",11275,0.52%,2023-12-03,1402/09/12,Sunday,یکشنبه
45,"2,165,193","2,165,193","2,177,243","2,176,503",5480,0.25%,2023-12-04,1402/09/13,Monday,دوشنبه
46,"2,177,475","2,171,023","2,177,475","2,171,023",10058,0.47%,2023-12-05,1402/09/14,Tuesday,سه‌شنبه
47,"2,171,237","2,160,964","2,171,496","2,160,965",109,0.01%,2023-12-08,1402/09/17,Friday,جمعه
48,"2,160,960","2,159,416","2,161,427","2,161,074",1486,0.07%,2023-12-09,1402/09/18,Saturday,شنبه
49,"2,161,637","2,161,637","2,165,685","2,162,560",1294,0.06%,2023-12-10,1402/09/19,Sunday,یکشنبه
50,"2,163,407","2,161,241","2,164,387","2,161,266",3178,0.15%,2023-12-11,1402/09/20,Monday,دوشنبه
51,"2,161,617","2,158,088","2,161,617","2,158,088",13735,0.64%,2023-12-12,1402/09/21,Tuesday,سه‌شنبه
52,"2,158,849","2,158,849","2,171,824","2,171,823",35830,1.65%,2023-12-15,1402/09/24,Friday,جمعه
53,"2,173,529","2,173,529","2,207,655","2,207,653",4203,0.19%,2023-12-17,1402/09/26,Sunday,یکشنبه
54,"2,207,176","2,207,121","2,215,618","2,211,856",3513,0.16%,2023-12-18,1402/09/27,Monday,دوشنبه
55,"2,209,960","2,208,339","2,210,707","2,208,343",8234,0.37%,2023-12-22,1402/10/01,Friday,جمعه
56,"2,208,591","2,200,109","2,208,591","2,200,109",5610,0.26%,2023-12-23,1402/10/02,Saturday,شنبه
57,"2,194,499","2,194,499","2,194,499","2,194,499",15747,0.72%,2023-12-24,1402/10/03,Sunday,یکشنبه
58,"2,193,626","2,178,752","2,193,626","2,178,752",1342,0.06%,2023-12-25,1402/10/04,Monday,دوشنبه
59,"2,178,997","2,177,410","2,179,319","2,177,410",5307,0.24%,2023-12-26,1402/10/05,Tuesday,سه‌شنبه
60,"2,178,618","2,178,618","2,184,189","2,182,717",6615,0.3%,2023-12-29,1402/10/08,Friday,جمعه
61,"2,182,828","2,176,095","2,182,828","2,176,102",7776,0.36%,2023-12-30,1402/10/09,Saturday,شنبه
62,"2,176,386","2,168,326","2,176,386","2,168,326",9560,0.44%,2023-12-31,1402/10/10,Sunday,یکشنبه
63,"2,168,309","2,158,766","2,168,309","2,158,766",3532,0.16%,2024-01-01,1402/10/11,Monday,دوشنبه
64,"2,158,989","2,155,089","2,159,186","2,155,234",1515,0.07%,2024-01-02,1402/10/12,Tuesday,سه‌شنبه
65,"2,155,297","2,151,951","2,155,297","2,153,719",1056,0.05%,2024-01-05,1402/10/15,Friday,جمعه
66,"2,153,710","2,153,710","2,156,925","2,154,775",820,0.04%,2024-01-06,1402/10/16,Saturday,شنبه
67,"2,154,713","2,153,953","2,156,552","2,153,955",2417,0.11%,2024-01-07,1402/10/17,Sunday,یکشنبه
68,"2,154,137","2,153,482","2,156,885","2,156,372",14592,0.68%,2024-01-08,1402/10/18,Monday,دوشنبه
69,"2,157,095","2,157,095","2,170,966","2,170,964",9560,0.44%,2024-01-09,1402/10/19,Tuesday,سه‌شنبه
70,"2,170,985","2,170,923","2,180,935","2,180,524",16766,0.77%,2024-01-12,1402/10/22,Friday,جمعه
71,"2,180,534","2,180,534","2,197,295","2,197,290",2291,0.1%,2024-01-13,1402/10/23,Saturday,شنبه
72,"2,197,918","2,194,996","2,198,211","2,194,999",6362,0.29%,2024-01-14,1402/10/24,Sunday,یکشنبه
