,Date,Close,Low,High,weekday_fa,Date_Gregorian
0,1394/11/12,72912.8,71378.5,72912.7,چهارشنبه,2016-02-01
1,1394/11/13,73725.5,73364.2,73844.5,پنج‌شنبه,2016-02-02
2,1394/11/14,73684.0,73648.5,73901.6,جمعه,2016-02-03
3,1394/11/17,74103.6,73976.8,74238.4,دوشنبه,2016-02-06
4,1394/11/18,74569.4,74284.2,74810.6,سه‌شنبه,2016-02-07
5,1394/11/19,75783.8,74911.9,75783.7,چهارشنبه,2016-02-08
6,1394/11/20,78199.1,76814.7,78418.9,پنج‌شنبه,2016-02-09
7,1394/11/21,77497.9,77457.4,77924.4,جمعه,2016-02-10
8,1394/11/24,76594.2,76514.6,77532.3,دوشنبه,2016-02-13
9,1394/11/25,76709.5,76467.6,76780.2,سه‌شنبه,2016-02-14
10,1394/11/26,77377.5,76820.4,77539.2,چهارشنبه,2016-02-15
11,1394/11/27,77141.6,77091.1,77698.4,پنج‌شنبه,2016-02-16
12,1394/11/28,77888.0,77269.9,77888.1,جمعه,2016-02-17
13,1394/12/01,77560.9,77560.9,78333.0,دوشنبه,2016-02-20
14,1394/12/02,77234.9,77141.4,77516.0,سه‌شنبه,2016-02-21
15,1394/12/03,77587.7,77563.7,77781.0,چهارشنبه,2016-02-22
16,1394/12/04,77704.0,77651.3,78037.5,پنج‌شنبه,2016-02-23
17,1394/12/05,77840.2,77573.3,77840.1,جمعه,2016-02-24
18,1394/12/08,78228.3,78086.1,78387.5,دوشنبه,2016-02-27
19,1394/12/09,77733.8,77733.8,78442.6,سه‌شنبه,2016-02-28
20,1394/12/10,77539.2,77376.4,77827.3,چهارشنبه,2016-02-29
21,1394/12/11,77648.8,77614.4,77891.4,پنج‌شنبه,2016-03-01
22,1394/12/12,77697.8,77595.9,77697.7,جمعه,2016-03-02
23,1394/12/15,78022.2,78022.2,78291.5,دوشنبه,2016-03-05
24,1394/12/16,78093.0,78093.0,78295.4,سه‌شنبه,2016-03-06
25,1394/12/17,78158.4,78142.6,78434.3,چهارشنبه,2016-03-07
26,1394/12/18,78220.0,78210.0,78402.5,پنج‌شنبه,2016-03-08
27,1394/12/19,78312.1,78312.1,78451.3,جمعه,2016-03-09
28,1394/12/22,79366.5,78541.9,79430.2,دوشنبه,2016-03-12
29,1394/12/24,80236.7,79930.6,80286.7,چهارشنبه,2016-03-14
30,1394/12/25,80037.5,79993.6,80493.4,پنج‌شنبه,2016-03-15
31,1394/12/26,80219.4,80068.0,80304.9,جمعه,2016-03-16
32,1395/01/07,81200.3,80133.2,81200.3,دوشنبه,2016-03-26
33,1395/01/08,81261.0,81255.4,81447.7,سه‌شنبه,2016-03-27
34,1395/01/09,80935.7,80935.6,81074.8,چهارشنبه,2016-03-28
35,1395/01/10,80561.3,80561.2,80889.5,پنج‌شنبه,2016-03-29
36,1395/01/11,81480.4,80774.7,81498.8,جمعه,2016-03-30
37,1395/01/14,81536.9,81432.1,81723.7,دوشنبه,2016-04-02
38,1395/01/15,80852.7,80590.0,81490.4,سه‌شنبه,2016-04-03
39,1395/01/16,80872.1,80802.6,80965.4,چهارشنبه,2016-04-04
40,1395/01/17,80965.8,80853.1,81030.5,پنج‌شنبه,2016-04-05
