,Date,Close,Low,High,weekday_fa
0,2016-02-01,"72,912.8","71,378.5","72,912.7",چهارشنبه
1,2016-02-02,"73,725.5","73,364.2","73,844.5",پنج‌شنبه
2,2016-02-03,"73,684","73,648.5","73,901.6",جمعه
3,2016-02-06,"74,103.6","73,976.8","74,238.4",دوشنبه
4,2016-02-07,"74,569.4","74,284.2","74,810.6",سه‌شنبه
5,2016-02-08,"75,783.8","74,911.9","75,783.7",چهارشنبه
6,2016-02-09,"78,199.1","76,814.7","78,418.9",پنج‌شنبه
7,2016-02-10,"77,497.9","77,457.4","77,924.4",جمعه
8,2016-02-13,"76,594.2","76,514.6","77,532.3",دوشنبه
9,2016-02-14,"76,709.5","76,467.6","76,780.2",سه‌شنبه
10,2016-02-15,"77,377.5","76,820.4","77,539.2",چهارشنبه
11,2016-02-16,"77,141.6","77,091.1","77,698.4",پنج‌شنبه
12,2016-02-17,"77,888","77,269.9","77,888.1",جمعه
13,2016-02-20,"77,560.9","77,560.9","78,333",دوشنبه
14,2016-02-21,"77,234.9","77,141.4","77,516",سه‌شنبه
15,2016-02-22,"77,587.7","77,563.7","77,781",چهارشنبه
16,2016-02-23,"77,704","77,651.3","78,037.5",پنج‌شنبه
17,2016-02-24,"77,840.2","77,573.3","77,840.1",جمعه
18,2016-02-27,"78,228.3","78,086.1","78,387.5",دوشنبه
19,2016-02-28,"77,733.8","77,733.8","78,442.6",سه‌شنبه
20,2016-02-29,"77,539.2","77,376.4","77,827.3",چهارشنبه
21,2016-03-01,"77,648.8","77,614.4","77,891.4",پنج‌شنبه
22,2016-03-02,"77,697.8","77,595.9","77,697.7",جمعه
23,2016-03-05,"78,022.2","78,022.2","78,291.5",دوشنبه
24,2016-03-06,"78,093","78,093","78,295.4",سه‌شنبه
25,2016-03-07,"78,158.4","78,142.6","78,434.3",چهارشنبه
26,2016-03-08,"78,220","78,210","78,402.5",پنج‌شنبه
27,2016-03-09,"78,312.1","78,312.1","78,451.3",جمعه
28,2016-03-12,"79,366.5","78,541.9","79,430.2",دوشنبه
29,2016-03-14,"80,236.7","79,930.6","80,286.7",چهارشنبه
30,2016-03-15,"80,037.5","79,993.6","80,493.4",پنج‌شنبه
31,2016-03-16,"80,219.4","80,068","80,304.9",جمعه
32,2016-03-26,"81,200.3","80,133.2","81,200.3",دوشنبه
33,2016-03-27,"81,261","81,255.4","81,447.7",سه‌شنبه
34,2016-03-28,"80,935.7","80,935.6","81,074.8",چهارشنبه
35,2016-03-29,"80,561.3","80,561.2","80,889.5",پنج‌شنبه
36,2016-03-30,"81,480.4","80,774.7","81,498.8",جمعه
37,2016-04-02,"81,536.9","81,432.1","81,723.7",دوشنبه
38,2016-04-03,"80,852.7","80,590","81,490.4",سه‌شنبه
39,2016-04-04,"80,872.1","80,802.6","80,965.4",چهارشنبه
40,2016-04-05,"80,965.8","80,853.1","81,030.5",پنج‌شنبه
41,2016-04-06,"80,752.7","80,743.1","81,190.2",جمعه
42,2016-04-09,"80,654","80,653.1","80,950.3",دوشنبه
43,2016-04-10,"80,280.7","80,237.3","80,615.5",سه‌شنبه
44,2016-04-11,"80,262.4","80,164.7","80,331.2",چهارشنبه
45,2016-04-12,"80,109.3","79,994.1","80,446",پنج‌شنبه
46,2016-04-13,"79,588.3","79,579","80,050.2",جمعه
47,2016-04-16,"77,984.8","77,933.3","79,447.7",دوشنبه
48,2016-04-17,"77,516.2","77,446.5","77,709.5",سه‌شنبه
49,2016-04-18,"78,435.4","77,613.1","78,438.3",چهارشنبه
50,2016-04-19,"78,430.9","78,430.9","78,766.1",پنج‌شنبه
51,2016-04-20,"78,269","78,197.2","78,636.6",جمعه
52,2016-04-23,"78,281.7","78,264.9","78,396.7",دوشنبه
53,2016-04-24,"78,448.3","78,278.4","78,448.4",سه‌شنبه
54,2016-04-25,"78,688.4","78,653.1","78,945.7",چهارشنبه
55,2016-04-26,"78,394.4","78,317.8","78,699.7",پنج‌شنبه
56,2016-04-27,"78,404.7","78,341.1","78,578.5",جمعه
57,2016-04-30,"78,414.6","78,399.8","78,585.7",دوشنبه
58,2016-05-01,"78,384.4","78,220.1","78,453.7",سه‌شنبه
59,2016-05-02,"78,285.4","78,259","78,425",چهارشنبه
60,2016-05-03,"78,044.4","77,968.9","78,382.5",پنج‌شنبه
61,2016-05-04,"78,033.8","77,938.1","78,076.9",جمعه
62,2016-05-07,"77,423.9","77,423.9","78,036.6",دوشنبه
63,2016-05-08,"77,045.3","77,041.2","77,378.1",سه‌شنبه
64,2016-05-09,"77,106","77,094.1","77,302.3",چهارشنبه
