,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
0,"13,700","13,700","13,700","13,700",260,1.93%,2011-11-26,1390/09/05,Saturday,شنبه
1,"13,440","13,440","13,440","13,440",90,0.67%,2011-11-27,1390/09/06,Sunday,یکشنبه
2,"13,350","13,350","13,350","13,350",-,-,2011-11-28,1390/09/07,Monday,دوشنبه
3,"13,500","13,500","13,500","13,500",90,0.67%,2011-11-30,1390/09/09,Wednesday,چهارشنبه
4,"13,610","13,610","13,610","13,610",13,0.1%,2011-12-03,1390/09/12,Saturday,شنبه
5,"13,550","13,550","13,550","13,550",57,0.42%,2011-12-07,1390/09/16,Wednesday,چهارشنبه
6,"13,450","13,450","13,450","13,450",80,0.59%,2011-12-10,1390/09/19,Saturday,شنبه
7,"13,530","13,530","13,530","13,530",100,0.74%,2011-12-11,1390/09/20,Sunday,یکشنبه
8,"13,630","13,630","13,630","13,630",140,1.03%,2011-12-12,1390/09/21,Monday,دوشنبه
9,"13,770","13,770","13,770","13,770",60,0.44%,2011-12-13,1390/09/22,Tuesday,سه‌شنبه
10,"13,710","13,710","13,710","13,710",20,0.15%,2011-12-14,1390/09/23,Wednesday,چهارشنبه
11,"14,080","14,080","14,080","14,080",420,2.98%,2011-12-17,1390/09/26,Saturday,شنبه
12,"14,500","14,500","14,500","14,500",800,5.52%,2011-12-18,1390/09/27,Sunday,یکشنبه
13,"15,300","15,300","15,300","15,300",150,0.99%,2011-12-19,1390/09/28,Monday,دوشنبه
14,"15,150","15,150","15,150","15,150",920,6.47%,2011-12-20,1390/09/29,Tuesday,سه‌شنبه
15,"14,230","14,230","14,230","14,230",74,0.52%,2011-12-21,1390/09/30,Wednesday,چهارشنبه
16,"14,800","14,800","14,800","14,800",450,3.04%,2011-12-24,1390/10/03,Saturday,شنبه
17,"15,250","15,250","15,250","15,250",100,0.66%,2011-12-25,1390/10/04,Sunday,یکشنبه
18,"15,150","15,150","15,150","15,150",50,0.33%,2011-12-26,1390/10/05,Monday,دوشنبه
19,"15,200","15,200","15,200","15,200",20,0.13%,2011-12-27,1390/10/06,Tuesday,سه‌شنبه
20,"15,220","15,220","15,220","15,220",168,1.1%,2011-12-28,1390/10/07,Wednesday,چهارشنبه
21,"15,900","15,900","15,900","15,900",1500,9.43%,2011-12-31,1390/10/10,Saturday,شنبه
22,"17,400","17,400","17,400","17,400",1200,7.41%,2012-01-01,1390/10/11,Sunday,یکشنبه
23,"16,200","16,200","16,200","16,200",400,2.53%,2012-01-02,1390/10/12,Monday,دوشنبه
24,"15,800","15,800","15,800","15,800",180,1.14%,2012-01-03,1390/10/13,Tuesday,سه‌شنبه
25,"15,980","15,980","15,980","15,980",1,0.01%,2012-01-04,1390/10/14,Wednesday,چهارشنبه
26,"16,550","16,550","16,550","16,550",350,2.11%,2012-01-07,1390/10/17,Saturday,شنبه
27,"16,900","16,900","16,900","16,900",-,-,2012-01-08,1390/10/18,Sunday,یکشنبه
28,"16,900","16,900","16,900","16,900",20,0.12%,2012-01-09,1390/10/19,Monday,دوشنبه
29,"16,920","16,920","16,920","16,920",30,0.18%,2012-01-10,1390/10/20,Tuesday,سه‌شنبه
30,"16,950","16,950","16,950","16,950",36,0.21%,2012-01-11,1390/10/21,Wednesday,چهارشنبه
31,"16,900","16,900","16,900","16,900",500,2.96%,2012-01-15,1390/10/25,Sunday,یکشنبه
32,"17,400","17,400","17,400","17,400",800,4.6%,2012-01-16,1390/10/26,Monday,دوشنبه
33,"18,200","18,200","18,200","18,200",-,-,2012-01-17,1390/10/27,Tuesday,سه‌شنبه
34,"18,200","18,200","18,200","18,200",590,3.24%,2012-01-18,1390/10/28,Wednesday,چهارشنبه
35,"19,400","18,900","19,700","19,300",200,1.05%,2012-01-20,1390/10/30,Friday,جمعه
36,"19,500","18,700","19,600","19,100",2100,12.35%,2012-01-22,1390/11/02,Sunday,یکشنبه
37,"17,000","17,000","17,000","17,000",100,0.59%,2012-01-25,1390/11/05,Wednesday,چهارشنبه
38,"18,300","18,300","18,300","18,300",-,-,2012-01-28,1390/11/08,Saturday,شنبه
39,"18,300","18,300","18,300","18,300",-,-,2012-01-29,1390/11/09,Sunday,یکشنبه
40,"18,300","18,300","18,300","18,300",470,2.64%,2012-01-31,1390/11/11,Tuesday,سه‌شنبه
41,"17,900","17,460","18,190","17,830",670,3.76%,2012-02-01,1390/11/12,Wednesday,چهارشنبه
42,"18,500","18,500","18,500","18,500",300,1.62%,2012-02-04,1390/11/15,Saturday,شنبه
43,"18,800","18,800","18,800","18,800",100,0.53%,2012-02-05,1390/11/16,Sunday,یکشنبه
44,"18,900","18,900","18,900","18,900",300,1.59%,2012-02-06,1390/11/17,Monday,دوشنبه
45,"19,200","19,200","19,200","19,200",150,0.78%,2012-02-07,1390/11/18,Tuesday,سه‌شنبه
46,"19,260","19,030","19,550","19,350",350,1.84%,2012-02-08,1390/11/19,Wednesday,چهارشنبه
47,"19,000","19,000","19,000","19,000",350,1.84%,2012-02-12,1390/11/23,Sunday,یکشنبه
48,"19,350","19,350","19,350","19,350",150,0.78%,2012-02-13,1390/11/24,Monday,دوشنبه
49,"19,500","19,500","19,500","19,500",100,0.51%,2012-02-14,1390/11/25,Tuesday,سه‌شنبه
50,"19,600","19,600","19,600","19,600",40,0.2%,2012-02-15,1390/11/26,Wednesday,چهارشنبه
51,"19,200","19,200","19,200","19,200",200,1.04%,2012-02-18,1390/11/29,Saturday,شنبه
52,"19,400","19,400","19,400","19,400",50,0.26%,2012-02-19,1390/11/30,Sunday,یکشنبه
53,"19,450","19,450","19,450","19,450",100,0.52%,2012-02-20,1390/12/01,Monday,دوشنبه
54,"19,350","19,350","19,350","19,350",-,-,2012-02-21,1390/12/02,Tuesday,سه‌شنبه
55,"19,350","19,350","19,350","19,350",17,0.09%,2012-02-22,1390/12/03,Wednesday,چهارشنبه
56,"19,300","19,300","19,300","19,300",600,3.21%,2012-02-25,1390/12/06,Saturday,شنبه
57,"18,700","18,700","18,700","18,700",200,1.08%,2012-02-26,1390/12/07,Sunday,یکشنبه
58,"18,500","18,500","18,500","18,500",700,3.78%,2012-02-27,1390/12/08,Monday,دوشنبه
59,"19,200","19,200","19,200","19,200",50,0.26%,2012-02-28,1390/12/09,Tuesday,سه‌شنبه
60,"19,250","19,250","19,250","19,250",-,-,2012-02-29,1390/12/10,Wednesday,چهارشنبه
61,"19,000","19,000","19,000","19,000",100,0.53%,2012-03-03,1390/12/13,Saturday,شنبه
62,"19,100","19,100","19,100","19,100",150,0.79%,2012-03-04,1390/12/14,Sunday,یکشنبه
63,"18,950","18,950","18,950","18,950",100,0.53%,2012-03-05,1390/12/15,Monday,دوشنبه
64,"18,850","18,850","18,850","18,850",150,0.8%,2012-03-06,1390/12/16,Tuesday,سه‌شنبه
65,"19,000","19,000","19,000","19,000",200,1.06%,2012-03-07,1390/12/17,Wednesday,چهارشنبه
66,"18,700","18,700","18,700","18,700",150,0.8%,2012-03-10,1390/12/20,Saturday,شنبه
67,"18,850","18,850","18,850","18,850",50,0.27%,2012-03-11,1390/12/21,Sunday,یکشنبه
68,"18,800","18,800","18,800","18,800",200,1.08%,2012-03-12,1390/12/22,Monday,دوشنبه
69,"18,600","18,600","18,600","18,600",100,0.54%,2012-03-13,1390/12/23,Tuesday,سه‌شنبه
70,"18,500","18,500","18,500","18,500",20,0.11%,2012-03-14,1390/12/24,Wednesday,چهارشنبه
71,"19,150","19,150","19,150","19,150",27,0.14%,2012-03-17,1390/12/27,Saturday,شنبه
72,"18,900","18,900","18,900","18,900",100,0.53%,2012-03-24,1391/01/05,Saturday,شنبه
73,"19,000","19,000","19,000","19,000",-,-,2012-03-25,1391/01/06,Sunday,یکشنبه
74,"19,200","19,200","19,200","19,200",-,-,2012-03-27,1391/01/08,Tuesday,سه‌شنبه
75,"19,200","19,200","19,200","19,200",10,0.05%,2012-03-28,1391/01/09,Wednesday,چهارشنبه
76,"19,000","19,000","19,000","19,000",50,0.26%,2012-04-02,1391/01/14,Monday,دوشنبه
77,"18,950","18,950","18,950","18,950",50,0.26%,2012-04-03,1391/01/15,Tuesday,سه‌شنبه
78,"19,000","19,000","19,000","19,000",-,-,2012-04-04,1391/01/16,Wednesday,چهارشنبه
79,"19,010","19,010","19,010","19,010",10,0.05%,2012-04-07,1391/01/19,Saturday,شنبه
80,"19,000","19,000","19,000","19,000",350,1.88%,2012-04-08,1391/01/20,Sunday,یکشنبه
81,"18,650","18,650","18,650","18,650",150,0.8%,2012-04-09,1391/01/21,Monday,دوشنبه
82,"18,800","18,800","18,800","18,800",40,0.21%,2012-04-10,1391/01/22,Tuesday,سه‌شنبه
83,"18,840","18,840","18,840","18,840",28,0.15%,2012-04-11,1391/01/23,Wednesday,چهارشنبه
84,"17,300","17,300","17,300","17,300",500,2.89%,2012-04-14,1391/01/26,Saturday,شنبه
85,"17,800","17,800","17,800","17,800",200,1.12%,2012-04-15,1391/01/27,Sunday,یکشنبه
86,"18,000","18,000","18,000","18,000",240,1.33%,2012-04-16,1391/01/28,Monday,دوشنبه
