,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
0,"1,911,050","1,907,800","1,940,000","1,910,000",27000,1.41%,2026-08-02,1405/05/11,Sunday,یکشنبه
1,"1,928,200","1,927,800","1,945,200","1,937,000",13000,0.68%,2026-08-01,1405/05/10,Saturday,شنبه
2,"1,935,850","1,920,800","1,936,200","1,924,000",11000,0.57%,2026-07-30,1405/05/08,Thursday,پنج‌شنبه
3,"1,925,000","1,924,800","1,940,200","1,935,000",33000,1.74%,2026-07-29,1405/05/07,Wednesday,چهارشنبه
4,"1,870,000","1,869,800","1,912,200","1,902,000",22000,1.17%,2026-07-28,1405/05/06,Tuesday,سه‌شنبه
5,"1,863,900","1,863,800","1,902,200","1,880,000",15000,0.8%,2026-07-27,1405/05/05,Monday,دوشنبه
6,"1,892,000","1,853,800","1,892,000","1,865,000",32000,1.72%,2026-07-26,1405/05/04,Sunday,یکشنبه
7,"1,911,900","1,894,800","1,913,200","1,897,000",34150,1.8%,2026-07-25,1405/05/03,Saturday,شنبه
8,"1,917,950","1,917,800","1,932,200","1,931,150",7100,0.37%,2026-07-23,1405/05/01,Thursday,پنج‌شنبه
9,"1,900,850","1,900,800","1,926,200","1,924,050",21050,1.11%,2026-07-22,1405/04/31,Wednesday,چهارشنبه
10,"1,878,000","1,877,800","1,910,200","1,903,000",26000,1.39%,2026-07-21,1405/04/30,Tuesday,سه‌شنبه
11,"1,905,000","1,874,800","1,905,200","1,877,000",53000,2.82%,2026-07-20,1405/04/29,Monday,دوشنبه
12,"1,950,000","1,923,800","1,950,200","1,930,000",15000,0.78%,2026-07-19,1405/04/28,Sunday,یکشنبه
13,"1,912,900","1,912,800","1,945,200","1,945,000",59000,3.13%,2026-07-18,1405/04/27,Saturday,شنبه
14,"1,892,100","1,873,800","1,892,200","1,886,000",4000,0.21%,2026-07-16,1405/04/25,Thursday,پنج‌شنبه
15,"1,834,800","1,834,800","1,888,200","1,882,000",40900,2.22%,2026-07-15,1405/04/24,Wednesday,چهارشنبه
16,"1,813,150","1,812,800","1,846,200","1,841,100",31250,1.73%,2026-07-14,1405/04/23,Tuesday,سه‌شنبه
17,"1,802,000","1,795,800","1,810,200","1,809,850",13850,0.77%,2026-07-13,1405/04/22,Monday,دوشنبه
18,"1,775,000","1,774,800","1,798,200","1,796,000",14000,0.79%,2026-07-12,1405/04/21,Sunday,یکشنبه
19,"1,825,100","1,779,800","1,825,200","1,782,000",34200,1.92%,2026-07-11,1405/04/20,Saturday,شنبه
20,"1,801,000","1,800,800","1,826,200","1,816,200",14250,0.79%,2026-07-09,1405/04/18,Thursday,پنج‌شنبه
21,"1,759,850","1,759,800","1,812,200","1,801,950",35100,1.99%,2026-07-08,1405/04/17,Wednesday,چهارشنبه
22,"1,757,100","1,749,800","1,770,200","1,766,850",9850,0.56%,2026-07-07,1405/04/16,Tuesday,سه‌شنبه
23,"1,755,950","1,751,800","1,760,280","1,757,000",1000,0.06%,2026-07-06,1405/04/15,Monday,دوشنبه
24,"1,746,100","1,745,800","1,758,200","1,756,000",2050,0.12%,2026-07-05,1405/04/14,Sunday,یکشنبه
25,"1,749,900","1,747,800","1,760,200","1,753,950",10950,0.63%,2026-07-02,1405/04/11,Thursday,پنج‌شنبه
26,"1,730,000","1,729,800","1,765,200","1,743,000",18000,1.04%,2026-07-01,1405/04/10,Wednesday,چهارشنبه
27,"1,716,950","1,706,800","1,727,200","1,725,000",16000,0.94%,2026-06-30,1405/04/09,Tuesday,سه‌شنبه
28,"1,734,000","1,706,800","1,736,200","1,709,000",17900,1.05%,2026-06-29,1405/04/08,Monday,دوشنبه
29,"1,667,950","1,667,800","1,729,200","1,726,900",58750,3.52%,2026-06-28,1405/04/07,Sunday,یکشنبه
30,"1,662,850","1,662,800","1,680,200","1,668,150",53150,3.29%,2026-06-27,1405/04/06,Saturday,شنبه
31,"1,579,850","1,579,800","1,620,200","1,615,000",35000,2.22%,2026-06-23,1405/04/02,Tuesday,سه‌شنبه
32,"1,602,900","1,574,800","1,605,200","1,580,000",16000,1.01%,2026-06-22,1405/04/01,Monday,دوشنبه
33,"1,602,950","1,589,800","1,603,200","1,596,000",12000,0.75%,2026-06-21,1405/03/31,Sunday,یکشنبه
34,"1,614,850","1,607,800","1,635,200","1,608,000",43000,2.75%,2026-06-20,1405/03/30,Saturday,شنبه
35,"1,564,850","1,564,800","1,575,200","1,565,000",30000,1.92%,2026-06-18,1405/03/28,Thursday,پنج‌شنبه
36,"1,535,050","1,534,800","1,610,150","1,595,000",45000,2.9%,2026-06-17,1405/03/27,Wednesday,چهارشنبه
37,"1,604,900","1,549,800","1,605,200","1,550,000",65100,4.2%,2026-06-16,1405/03/26,Tuesday,سه‌شنبه
38,"1,710,000","1,614,800","1,710,200","1,615,100",96950,6%,2026-06-15,1405/03/25,Monday,دوشنبه
39,"1,699,900","1,689,800","1,720,200","1,712,050",8050,0.47%,2026-06-14,1405/03/24,Sunday,یکشنبه
40,"1,810,050","1,719,800","1,810,200","1,720,100",81700,4.75%,2026-06-13,1405/03/23,Saturday,شنبه
41,"1,787,800","1,787,800","1,805,200","1,801,800",16700,0.94%,2026-06-11,1405/03/21,Thursday,پنج‌شنبه
42,"1,758,050","1,757,800","1,785,200","1,785,100",32100,1.83%,2026-06-10,1405/03/20,Wednesday,چهارشنبه
43,"1,769,800","1,751,800","1,770,200","1,753,000",21000,1.2%,2026-06-09,1405/03/19,Tuesday,سه‌شنبه
44,"1,782,150","1,772,800","1,788,200","1,774,000",6100,0.34%,2026-06-08,1405/03/18,Monday,دوشنبه
